rider_slug,riding_hand,total_records,career_qual_pct,career_rides,career_attempts,career_avg_score,career_high_score
Tanner+Ellis,,1,0.0,0,1,0.0,0.0
Tanner+Eno,Right,158,29.73,44,148,82.77,88.5
Tanner+Glanville,,4,0.0,0,4,0.0,0.0
Tanner+Miller,,5,0.0,0,4,0.0,0.0
Tanner+Robertson,Left,28,33.33,9,27,77.17,89.0
Tanner+Skene,Right,84,17.5,14,80,82.11,86.0
Tanner+Wall,Left,13,7.69,1,13,65.0,65.0
Tanner+Wentland,,6,0.0,0,5,0.0,0.0
Tanner+Young,,3,0.0,0,3,0.0,0.0
Taos+Weborg,,11,18.18,2,11,81.25,83.5
Tate+Meyer,,5,0.0,0,5,0.0,0.0
Tate+Pollmeier,Right,222,22.93,47,205,85.16,91.25
Tate+Sly,,1,0.0,0,1,0.0,0.0
Tate+Stratton,Left,1084,38.03,362,952,79.96,93.0
Tater+Hins,Right,238,37.61,82,218,76.99,89.0
Tator+Nez,,2,0.0,0,2,0.0,0.0
Tavrsus+Stubbs,,42,0.0,0,37,0.0,0.0
Taylor+Allen,Right,34,42.42,14,33,83.03,90.0
Taylor+Holbert,,7,0.0,0,7,0.0,0.0
Taylor+Murphy,,1,0.0,0,1,0.0,0.0
Taylor+Toves,Right,1018,20.61,197,956,83.74,92.75
Taylor+White,,44,36.84,14,38,76.21,84.0
Ted+Bert,Right,571,38.98,198,508,77.92,91.0
Tee+Burress,,23,8.7,2,23,72.5,74.0
Tee+Jay+Mulrony,Right,18,0.0,0,18,0.0,0.0
Teeler+Congleton,,8,12.5,1,8,85.0,85.0
Tegan+Kirkpatrick,,5,0.0,0,5,0.0,0.0
Teigan+Gray,Left,49,37.78,17,45,79.12,89.0
Tel+Trohkimoinen,,20,0.0,0,18,0.0,0.0
Tell+Jacobs,Right,172,7.19,12,167,76.67,85.5
Tell+Pearman,,15,0.0,0,12,0.0,0.0
Tennessee+Owens,,3,0.0,0,3,0.0,0.0
Teron+Young,,7,14.29,1,7,78.0,78.0
Terrance+Granger,Left,144,23.2,29,125,77.66,89.0
Terry+Adams,Right,7,0.0,0,6,0.0,0.0
Terry+Don+West,Right,279,57.83,144,249,83.88,96.0
Thad+Bothwell,,2,0.0,0,2,0.0,0.0
Thaddeus+Towns,,23,4.76,1,21,73.0,73.0
Thane+Keller,,2,0.0,0,2,0.0,0.0
Thayne+Elshere,Right,75,32.86,23,70,82.74,90.5
Thiago+Salgado,Left,480,40.62,184,453,86.26,92.05
Thomas+Bert,Left,496,49.88,215,431,76.42,95.0
Thomas+Blackwell,,7,,,,0.0,0.0
Thomas+Cummings,,2,0.0,0,2,0.0,0.0
Thomas+Halikman,,1,0.0,0,1,0.0,0.0
Thomas+Rice,,25,25.0,6,24,72.0,80.0
Thomas+Salario,Left,124,35.59,42,118,77.26,89.0
Thomas+Triplett,Right,5,0.0,0,5,0.0,0.0
Thomas+Willard,,6,0.0,0,6,0.0,0.0
Thor+Ferguson,,4,0.0,0,4,0.0,0.0
Thor+Hoefer,,13,16.67,1,6,74.0,74.0
Thor+Smith,Right,145,36.22,46,127,76.22,86.0
Tice+Hopkins,Left,35,17.14,6,35,72.67,89.0
Tiger+Ramcharitar,,1,0.0,0,1,0.0,0.0
Tim+Bridwell,,1,0.0,0,1,0.0,0.0
Tim+Klassen,,10,0.0,0,9,0.0,0.0
Tim+Lataste,Right,80,27.63,21,76,78.19,93.0
Tim+LeBleu,,2,0.0,0,2,0.0,0.0
Tim+Woods,,67,24.59,15,61,74.67,87.0
Tipton+Wilson,Left,95,9.52,8,84,77.44,85.0
Toby+Adams,,28,7.69,2,26,83.5,86.5
Toby+Clower,,3,0.0,0,3,0.0,0.0
Toby+Deudney,Left,63,25.4,16,63,80.94,88.0
Toby+Hale,Left,111,26.0,26,100,78.44,85.5
Toby+Knapp,,5,0.0,0,5,0.0,0.0
Todd+Borland,,1,0.0,0,1,0.0,0.0
Todd+Borlang,,9,20.0,1,5,62.0,62.0
Todd+Bryson,,7,0.0,0,7,0.0,0.0
Todd+Flinn,,23,42.11,8,19,76.44,83.0
Todd+Jefferson,,2,0.0,0,2,0.0,0.0
Todd+Rice,,36,6.06,2,33,62.0,66.0
Todd+Thomas,,9,0.0,0,8,0.0,0.0
Todd+Thompson,,11,11.11,1,9,71.0,71.0
Tom+Banner,,95,7.87,7,89,67.14,74.0
Tom+Dennison,,10,10.0,1,10,64.0,64.0
Tom+Fischer,,33,15.63,5,32,69.6,77.0
Tom+Harmon,Left,45,2.33,1,43,83.0,83.0
Tom+Ings,,3,0.0,0,3,0.0,0.0
Tom+Tharp,,19,26.67,4,15,72.75,77.0
Tom+Townsend,,13,16.67,2,12,73.5,77.0
Tommy+Hernandez,,34,23.53,8,34,73.38,83.5
Tommy+Kunz,,15,9.09,1,11,83.0,83.0
Tommy+Whitman,,3,0.0,0,2,0.0,0.0
Tony+Booth,Right,181,9.58,16,167,77.5,89.0
Tony+Mendes,Left,1144,40.82,409,1002,83.81,93.5
Tony+Rossi,,200,22.46,42,187,75.42,91.0
Tony+Smith,,1,0.0,0,1,0.0,0.0
Trace+Redd,Right,296,28.3,75,265,83.78,91.0
Trace+Scarlavai,Right,37,32.43,12,37,83.17,87.0
Traci+Lombardi,,2,0.0,0,1,0.0,0.0
Tracy+Lombardi,,6,0.0,0,6,0.0,0.0
Tracy+Waiss,,12,0.0,0,10,0.0,0.0
Travis+Askew,Right,342,20.98,64,305,74.1,90.0
Travis+Briscoe,Left,908,34.54,296,857,86.07,95.0
Travis+Burian,,57,56.0,28,50,74.14,88.0
Travis+Campbell,Left,278,33.07,84,254,76.19,89.0
Travis+Christman,,12,33.33,3,9,72.0,78.0
Travis+Collinsworth,,9,33.33,3,9,73.0,75.0
Travis+Digman,,2,0.0,0,2,0.0,0.0
Travis+Finley,Left,69,31.75,20,63,77.68,85.0
Travis+Greenlee,,6,0.0,0,5,0.0,0.0
Travis+Hyatt,,14,16.67,1,6,71.0,71.0
Travis+Macks,,8,0.0,0,7,0.0,0.0
Travis+Nanaeto,,3,0.0,0,3,0.0,0.0
Travis+Owen,,4,0.0,0,4,0.0,0.0
Travis+Petersen,,28,3.57,1,28,72.0,72.0
Travis+Sellers,Right,562,38.86,197,507,84.02,93.0
Travis+Sullivan,,11,10.0,1,10,70.0,70.0
Travis+Verbruggen,,2,0.0,0,2,0.0,0.0
Travis+Warburton,,46,13.33,6,45,80.25,85.5
Travis+Wilts,,1,0.0,0,1,0.0,0.0
Travis+Wimberley,Right,99,17.78,16,90,79.44,86.0
Travis+Wollert,,21,6.67,1,15,86.0,86.0
Travoris+Zeno,,53,28.57,14,49,85.12,90.5
Trent+Broussard,Right,118,15.63,15,96,74.13,81.0
Trent+Cormier,Right,843,21.47,166,773,79.82,93.5
Trent+Ferreir,Left,65,27.12,16,59,84.25,89.0
Trent+Hendricks,,6,0.0,0,5,0.0,0.0
Trent+Laughlin,,5,0.0,0,4,0.0,0.0
Treven+Coonradt,Left,53,19.15,9,47,78.1,87.0
Trevor+Brenize,,7,0.0,0,7,0.0,0.0
Trevor+Clark,,5,0.0,0,5,0.0,0.0
Trevor+Hunt,,49,4.17,2,48,66.0,71.0
Trevor+Miller,,9,11.11,1,9,78.0,78.0
Trevor+Reiste,Right,853,30.41,229,753,82.96,92.5
Trevor+Warburton,,2,0.0,0,2,0.0,0.0
Trevor+Wittmack,,10,20.0,2,10,83.25,83.5
Trey+Bankston,,42,22.22,8,36,74.13,82.0
Trey+Benton,Right,1243,37.3,398,1067,84.84,93.0
Trey+Buettner,,7,0.0,0,7,0.0,0.0
Trey+Craig,Right,89,7.59,6,79,72.17,81.0
Trey+Holston,Left,465,42.13,166,394,82.54,90.5
Trey+Ireland,,3,0.0,0,2,0.0,0.0
Trey+Kimzey,Right,873,30.49,236,774,82.38,92.0
Trey+Martinez,,14,7.14,1,14,76.1,76.1
Trey+McFarlane,,19,18.75,3,16,84.87,85.1
Trey+Mcfarlane,,19,18.75,3,16,84.87,85.1
Trey+Spinn,Left,43,18.6,8,43,76.69,88.0
Trey+Thomas,,26,20.0,5,25,84.26,87.4
Triky+Stevens,,1,0.0,0,1,0.0,0.0
Trinity+Bear,,47,23.91,11,46,81.36,87.25
Tristan+Miner,,6,0.0,0,6,0.0,0.0
Tristan+Mize,Right,598,25.29,130,514,83.55,91.5
Tristan+ONeal,Right,174,14.91,24,161,80.9,89.0
Tristen+Hutchings,Left,711,41.88,276,659,84.37,92.5
Tristen+Manning,,33,6.45,2,31,83.0,84.5
Tristin+Parker,Right,386,37.91,127,335,82.87,90.5
Troy+Alexander,,60,19.3,11,57,71.36,84.0
Troy+Bosman,,4,75.0,3,4,75.0,80.0
Troy+Clinton,,32,6.67,2,30,67.0,69.0
Troy+Reagan,,2,0.0,0,2,0.0,0.0
Troy+Rowen,,27,28.0,7,25,63.0,74.0
Troy+Wilcox,,38,32.26,10,31,73.6,82.0
Tuck+Alstatt,,56,0.0,0,53,0.0,0.0
Tucker+Cotten,,2,0.0,0,2,0.0,0.0
Tucker+Mertens,,65,15.63,10,64,80.35,86.5
Tucker+Riley,,2,0.0,0,2,0.0,0.0
Tucker+Root,,9,0.0,0,9,0.0,0.0
Tucker+Roots,,1,0.0,0,1,0.0,0.0
Tucker+Shoun,,51,12.24,6,49,81.83,87.0
Tucker+Taylor,,4,0.0,0,3,0.0,0.0
Tuff+Davis,,16,13.33,2,15,78.0,81.0
Tuff+Morgan,,2,0.0,0,2,0.0,0.0
Twister+Nash,,10,0.0,0,10,0.0,0.0
Ty+Baldwin,,5,0.0,0,5,0.0,0.0
Ty+Bertrand,Left,156,5.44,8,147,77.94,81.5
Ty+Elliott,Right,428,31.46,112,356,81.31,90.0
Ty+Joslin,,13,8.33,1,12,69.0,69.0
Ty+Munden,Left,17,15.38,2,13,80.5,86.0
Ty+Murray,Right,273,59.55,159,267,86.36,95.5
Ty+Parnell,Right,59,20.69,12,58,82.04,87.5
Ty+Pinnt,,88,26.19,22,84,77.93,85.5
Ty+Portenier,,34,31.25,10,32,74.15,90.5
Ty+Reeder,,3,0.0,0,2,0.0,0.0
Ty+Scoggins,Left,105,26.32,25,95,76.92,91.0
Ty+Trujillo,,10,0.0,0,7,0.0,0.0
TyLane+Thomas,,12,0.0,0,12,0.0,0.0
Tyce+Willis,Right,229,20.57,43,209,82.49,90.0
Tye+Arviso,,4,0.0,0,3,0.0,0.0
Tye+Chandler,Right,448,24.46,101,413,84.05,90.0
Tye+Odden,Right,193,33.73,57,169,79.09,90.0
Tylane+Thomas,,12,0.0,0,12,0.0,0.0
Tylar+Moe,,28,9.52,2,21,64.5,67.0
Tyler+Bingham,Right,1029,30.08,271,901,81.8,92.5
Tyler+Boyd,,3,0.0,0,3,0.0,0.0
Tyler+Craig,Right,267,26.72,66,247,83.15,88.5
Tyler+Crockett,Left,37,24.24,8,33,72.0,78.0
Tyler+Dellen,Left,179,22.08,34,154,72.94,83.0
Tyler+Ewart,,9,0.0,0,8,0.0,0.0
Tyler+Fowler,,116,52.22,47,90,81.27,91.0
Tyler+Greer,,16,7.14,1,14,81.0,81.0
Tyler+Housley,,4,25.0,1,4,77.5,77.5
Tyler+Kastet,Right,26,26.09,6,23,76.33,81.0
Tyler+Kippes,Right,194,20.99,34,162,81.6,90.5
Tyler+Manor,Left,95,29.89,26,87,81.5,89.0
Tyler+Martens,,16,50.0,8,16,81.25,84.5
Tyler+Replogle,,10,0.0,0,9,0.0,0.0
Tyler+Streeter,,17,23.53,4,17,75.25,82.0
Tyler+Taillon,Left,140,15.38,18,117,72.94,87.0
Tyler+Taylor,Right,698,30.87,188,609,80.94,90.0
Tyler+Thomson,Left,538,42.92,203,473,81.85,91.5
Tyler+Villarreal,Right,114,8.91,9,101,76.01,84.6
Tylor+Cabe,,30,3.7,1,27,85.5,85.5
Tylor+Christensen,,6,0.0,0,6,0.0,0.0
Tyndel+Carson,,22,4.76,1,21,74.0,74.0
Tyrel+Curtis,Right,111,22.0,22,100,74.23,87.0
Tyrel+Jensen,,86,23.19,16,69,72.69,84.0
Tyrone+Williams,,5,0.0,0,5,0.0,0.0
Tyson+Acosta,,1,0.0,0,1,0.0,0.0
Tyson+Dukes,,2,50.0,1,2,61.0,61.0
Tyson+Hill,,2,0.0,0,2,0.0,0.0
Tyson+Hirschi,,30,0.0,0,27,0.0,0.0
Tyson+Montano,,3,0.0,0,3,0.0,0.0
Tyson+Nall,,1,0.0,0,1,0.0,0.0
Tyson+Rich,,35,8.82,3,34,79.0,84.0
Vanderson+da+Silva+Stresser,,2,0.0,0,2,0.0,0.0
Varnei+Jose+Santana+Junio,,19,5.88,1,17,64.0,64.0
Venn+Johns,Left,299,12.63,36,285,82.42,88.5
Vernon+Adams,,14,0.0,0,14,0.0,0.0
Vernon+Tom,Right,13,0.0,0,9,0.0,0.0
Vic+Dubray,Right,156,15.15,20,132,75.35,91.0
Victor+Campos,,2,0.0,0,2,0.0,0.0
Victor+Gutierrez,,6,16.67,1,6,64.0,64.0
Vilmone+da+Silva+Mendanha,,5,20.0,1,5,79.2,79.2
Viltrumite+Ramirez,,10,0.0,0,9,0.0,0.0
Vince+Stanton,Left,268,32.61,75,230,82.44,93.5
Vinell+Mariano,Left,207,20.11,38,189,82.17,90.0
Vinicius+Barbosa,,11,0.0,0,10,0.0,0.0
Vinicius+Pinheiro+Correa,Left,146,37.21,48,129,84.6,88.4
Vinicius+Rainer,,24,0.0,0,23,0.0,0.0
Vinicius+Rodrigues+Pereira,Right,103,26.04,25,96,84.84,88.1
Virgil+Aderholt,,7,0.0,0,6,0.0,0.0
Vitor+Barbieri+Rigotti,Left,40,5.56,2,36,62.0,78.0
Vitor+Losnake,Left,349,32.4,104,321,84.42,91.0
Wacey+Barta,Left,225,16.15,31,192,74.94,90.0
Wacey+Schalla,Right,361,42.51,142,334,84.97,91.5
Wade+Berg,Left,320,13.09,36,275,79.6,88.0
Wade+Feaser,,21,4.76,1,21,75.5,75.5
Wade+Gravitt,,9,0.0,0,8,0.0,0.0
Wade+Marshall,Right,154,6.67,9,135,81.22,87.0
Wade+McNolty,,4,25.0,1,4,84.0,84.0
Wade+Shipman,,3,33.33,1,3,67.0,67.0
Wade+Stanton,,17,18.75,3,16,79.67,82.0
Wade+Tuni,Right,203,20.54,38,185,83.5,88.5
Walison+Neves,,10,33.33,3,9,77.22,82.0
Walker+Fenner,,1,0.0,0,1,0.0,0.0
Wallace+Vieira+de+Oliveira,Right,682,21.56,141,654,84.5,90.0
Wally+Tullius,Left,9,11.11,1,9,77.0,77.0
Wanderson+Jackson,,6,0.0,0,5,0.0,0.0
Warren+Gigler,,1,0.0,0,1,0.0,0.0
Wasey+Granger,Left,15,7.14,1,14,86.0,86.0
Waylon+Buquoi,Right,49,21.28,10,47,80.3,86.5
Waylon+Hale,,3,0.0,0,3,0.0,0.0
Wayne+Woodard,,25,27.27,6,22,70.67,80.0
Wegner+Souza,,5,0.0,0,5,0.0,0.0
Wes+Bilyeu,Right,140,19.17,23,120,76.76,88.0
Wes+Buford,Right,19,27.78,5,18,72.0,79.0
Wes+Colbert,,31,10.0,3,30,82.33,87.0
Wes+Dinwiddie,,175,30.3,40,132,77.6,88.0
Wes+Farris,Right,45,11.9,5,42,71.2,80.0
Wes+Tatton,,14,0.0,0,13,0.0,0.0
Weslei+Ferreira+de+Jesus,,76,10.96,8,73,82.31,85.0
Wesley+Chisolm,,8,0.0,0,7,0.0,0.0
Wesley+Cooper,,16,6.67,1,15,79.0,79.0
Wesley+Silcox,Right,1314,45.63,491,1076,82.4,94.0
Westen+Wade,,17,7.14,1,14,84.4,84.4
Westin+Simpson,,19,21.05,4,19,82.38,84.0
Weston+Blackburn,,148,20.83,20,96,76.1,87.0
Weston+Davidson,Left,294,20.96,57,272,82.04,87.5
Weston+Ellis,,1,0.0,0,1,0.0,0.0
Weston+Kimball,,2,0.0,0,2,0.0,0.0
Weston+Slyter,Right,66,41.67,25,60,76.4,89.0
Whit+Ashe,,54,19.15,9,47,74.67,81.0
Whit+Whittington,,2,50.0,1,2,69.0,69.0
Wild+Man+Wagner,Right,111,15.53,16,103,71.94,86.0
Wildcard+Louie,,1,0.0,0,1,0.0,0.0
Will+Berryhill,,67,36.07,22,61,76.73,89.0
Will+Dromgold,,19,29.41,5,17,70.4,73.0
Will+Farrell,Left,556,36.48,178,488,78.8,91.0
Will+Hines,,17,35.71,5,14,71.4,79.0
Will+Morris,,151,8.22,12,146,74.5,85.0
Will+Norris,,1,0.0,0,1,0.0,0.0
Will+Payne,,20,20.0,4,20,72.0,76.0
Will+Roberts,,5,33.33,1,3,74.0,74.0
Will+Rogers,Right,267,4.65,12,258,72.25,82.0
Will+Tyson,Right,26,4.35,1,23,64.0,64.0
William+Barrows,Left,101,20.21,19,94,80.82,86.0
William+Davey,Right,53,26.09,12,46,73.83,83.0
William+De+Souza+Roberto,,2,0.0,0,2,0.0,0.0
William+Robinson+Ashe,,1,0.0,0,1,0.0,0.0
William+Shoun,,72,34.38,22,64,80.25,90.0
William+VanderLeest,,12,0.0,0,11,0.0,0.0
William+Wright,Right,102,14.58,14,96,81.68,88.0
Willian+de+Souza,Left,30,17.86,5,28,80.38,85.5
Willie+Church,,30,33.33,8,24,77.13,89.0
Wilquer+Cruz+da+Silva,,8,0.0,0,7,0.0,0.0
Wingson+Henrique+da+Silva,Left,231,38.74,86,222,82.99,92.5
Winston+Kusler,,102,23.86,21,88,72.5,87.0
Winston+Lopez,Left,167,25.93,42,162,84.98,89.0
Winy+dos+Santos,Left,45,35.0,14,40,83.54,86.75
Woody+Woodard,,6,25.0,1,4,68.0,68.0
Wyatt+Black,,1,0.0,0,1,0.0,0.0
Wyatt+Bowman,Right,72,21.13,15,71,81.91,88.1
Wyatt+Brown,,27,0.0,0,27,0.0,0.0
Wyatt+Cooper,Right,48,13.04,6,46,76.25,88.0
Wyatt+Covington,Left,202,20.33,37,182,80.22,88.0
Wyatt+Davis,Right,22,18.18,4,22,76.15,83.5
Wyatt+Engen,,6,0.0,0,6,0.0,0.0
Wyatt+Fennig,,4,0.0,0,4,0.0,0.0
Wyatt+Fraser,,1,0.0,0,1,0.0,0.0
Wyatt+Gleeson,Right,233,21.97,49,223,83.94,90.0
Wyatt+Marshall,Right,80,11.69,9,77,79.94,86.0
Wyatt+Moulton,Left,132,11.21,13,116,81.05,85.8
Wyatt+Nez,Left,176,23.6,38,161,80.19,88.0
Wyatt+Perry,,50,0.0,0,47,0.0,0.0
Wyatt+Phelps,Right,149,15.79,21,133,79.57,90.0
Wyatt+Riddle,,18,25.0,4,16,83.75,87.5
Wyatt+Rogers,Right,854,27.42,210,766,82.26,92.0
Wyatt+Terrazas,,7,0.0,0,7,0.0,0.0
Wyatt+Vineyard,,26,16.0,4,25,75.28,85.7
Wyle+Wells,,22,4.55,1,22,83.2,83.2
Wylee+Hurst,Left,190,18.07,30,166,79.98,87.5
Wynn+Wells,,1,0.0,0,1,0.0,0.0
Xavier+Antez,Left,17,18.75,3,16,80.0,85.5
Xavier+Davis,,4,0.0,0,4,0.0,0.0
Xavier+Garza,,2,0.0,0,2,0.0,0.0
Xavier+Hunt,,7,0.0,0,7,0.0,0.0
Yan+Victor+Cunha,Right,67,41.94,26,62,85.05,89.25
Yancey+James,,13,0.0,0,13,0.0,0.0
Yuri+Charles,,16,7.69,1,13,74.5,74.5
Zac+Kelsey,,2,0.0,0,2,0.0,0.0
Zac+Osborne,,26,0.0,0,24,0.0,0.0
Zac+Shriver,,2,0.0,0,2,0.0,0.0
Zach+Miles,Right,215,14.71,30,204,83.97,88.5
Zach+Shreve,,2,0.0,0,2,0.0,0.0
Zachariah+Sherrod,,47,19.05,8,42,72.38,84.0
Zachary+Miotke,,3,0.0,0,3,0.0,0.0
Zachary+Naegele,,6,0.0,0,5,0.0,0.0
Zachery+King,,23,0.0,0,22,0.0,0.0
Zack+Brown,Left,735,44.31,300,677,84.09,95.5
Zack+Heimann,,24,20.83,5,24,82.7,85.0
Zack+Morrison,Left,33,19.35,6,31,84.73,87.0
Zack+Oakes,Right,759,51.18,281,549,80.3,93.0
Zack+Oberholzer,,24,8.7,2,23,73.0,75.0
Zaden+Henderson,,1,0.0,0,1,0.0,0.0
Zain+Fitzgerald,,10,10.0,1,10,82.0,82.0
Zane+Cook,Right,551,20.42,107,524,83.06,89.5
Zane+Monnett,Left,29,28.0,7,25,84.4,87.5
Zane+Nourse,,13,0.0,0,11,0.0,0.0
Zane+South,,3,0.0,0,2,0.0,0.0
Zane+Tully,,25,4.76,1,21,82.9,82.9
Zane+Wagoner,,35,3.45,1,29,81.0,81.0
Zeb+Lanham,Left,689,31.14,170,546,81.24,95.0
Zechariah+Boeckman,,46,0.0,0,41,0.0,0.0
Zeke+Martinez,Right,32,25.0,8,32,85.19,88.0
Ziggy+Pete,,18,0.0,0,18,0.0,0.0
