rider_slug,riding_hand,total_records,career_qual_pct,career_rides,career_attempts,career_avg_score,career_high_score
Luke+Ellingson,Right,41,43.59,17,39,79.94,87.0
Luke+Gray,Left,60,31.25,15,48,76.27,87.0
Luke+Haught,Left,720,40.72,250,614,78.68,93.0
Luke+Kelley,Right,308,40.0,100,250,79.88,91.0
Luke+Mackey,Right,284,48.89,132,270,82.93,91.0
Luke+Mast,Left,432,25.5,103,404,81.53,89.5
Luke+Meeks,Left,94,35.0,28,80,76.0,88.0
Luke+Nichols,,14,7.69,1,13,86.5,86.5
Luke+Noble,,45,20.0,8,40,72.5,80.0
Luke+Nooks,,1,100.0,1,1,72.0,72.0
Luke+Parkinson,Right,112,18.81,19,101,83.71,90.75
Luke+Schalla,,7,40.0,2,5,83.25,87.5
Luke+Sortor,,2,0.0,0,2,0.0,0.0
Lynde+Johnson,Left,39,11.11,4,36,80.25,84.0
Macaulie+Leather,Left,115,41.0,41,100,85.15,88.75
Mackenzie+Fair,,28,0.0,0,27,0.0,0.0
Macon+Thomas,,45,17.07,7,41,79.0,83.5
Macoy+Attebury,Right,10,10.0,1,10,89.5,89.5
Maikon+Calixton+Rocha,Left,75,42.25,30,71,82.72,89.0
Malachi+Anderson,,5,0.0,0,4,0.0,0.0
Malachi+Davis,,5,0.0,0,5,0.0,0.0
Malachi+Gallegos,Right,11,0.0,0,10,0.0,0.0
Malachi+Schaeffer,,18,0.0,0,16,0.0,0.0
Malik+Martin,,4,0.0,0,4,0.0,0.0
Manoelito+de+Souza+Junior,Left,466,27.13,118,435,84.52,93.5
Manuel+DeLaFuente,,3,50.0,1,2,72.0,72.0
Manuel+Gallardo,,8,25.0,2,8,84.25,85.1
Marc+Boyle,,14,14.29,2,14,72.5,74.0
Marcelo+De+Souza+Dias+Junior,Right,66,16.13,10,62,83.52,89.3
Marcelo+Procopio+Pereira,Right,403,32.71,123,376,84.19,91.75
Marcio+Lima,,26,0.0,0,23,0.0,0.0
Marco+Anthonio+Silva+Santos,,12,0.0,0,12,0.0,0.0
Marco+Eguchi,Right,1057,37.96,383,1009,84.64,94.0
Marco+Juarez,Right,174,25.79,41,159,81.71,88.5
Marco+Lopez,,12,0.0,0,11,0.0,0.0
Marco+Ortiz,,56,11.11,6,54,84.83,87.0
Marco+Rizzo,Right,215,35.82,72,201,85.19,90.25
Marcos+Ponce,,1,100.0,1,1,82.0,82.0
Marcos+Rodrigo+De+Oliveira+Dutra,,8,0.0,0,8,0.0,0.0
Marcos+Rosa+da+Silva,,40,10.81,4,37,85.85,87.6
Marcos+Santos+de+Miranda,,10,10.0,1,10,80.5,80.5
Marcus+Mast,Left,610,27.15,155,571,83.86,90.0
Marcus+Michaelis,Left,778,39.34,264,671,79.78,92.0
Marcus+Walker,,2,0.0,0,2,0.0,0.0
Marcus+Young,,48,17.78,8,45,76.94,83.0
Mario+Dubon,,35,0.0,0,33,0.0,0.0
Mario+Lango,Left,37,3.7,1,27,80.0,80.0
Mario+Ramirez,,20,12.5,2,16,70.0,70.0
Mark+Franco,,4,0.0,0,2,0.0,0.0
Mark+Gruenwald,,2,0.0,0,1,0.0,0.0
Mark+Husso,,1,0.0,0,1,0.0,0.0
Mark+Johansen,Right,65,30.77,16,52,79.11,88.0
Mark+Kennedy,,2,0.0,0,2,0.0,0.0
Mark+Lopes,Right,573,35.78,185,517,81.71,90.5
Mark+Musso,,1,0.0,0,1,0.0,0.0
Mark+Picard,,4,0.0,0,4,0.0,0.0
Mark+Ward,Right,244,36.21,84,232,82.77,91.5
Mark+Warner,,10,44.44,4,9,71.25,75.0
Marlon+Henrique,,22,4.55,1,22,83.4,83.4
Marshall+Belanger,,1,0.0,0,1,0.0,0.0
Marshall+Senger,Right,57,28.57,16,56,83.35,86.8
Marshall+Tsosie,,3,33.33,1,3,80.5,80.5
Martin+Naylor,,13,8.33,1,12,55.0,55.0
Marty+Castor,,14,0.0,0,14,0.0,0.0
Marty+OBrien,,2,0.0,0,2,0.0,0.0
Marty+OBryan,,2,0.0,0,2,0.0,0.0
Marty+Robinson,,18,14.29,2,14,54.5,56.0
Marty+Staneart,,10,10.0,1,10,84.0,84.0
Mason+Brewer,,2,0.0,0,2,0.0,0.0
Mason+Collins,,43,14.29,6,42,77.5,84.5
Mason+Hamilton,,4,0.0,0,3,0.0,0.0
