bull_id,name,power_rating,avg_bull_score,avg_adjusted,attempts,rides,avg_ride_score,buckoff_pct,pre_ride_prob,hand_advantage_pct,hand_advantage_dir,lh_wins,lh_losses,lh_pct,lh_total,rh_wins,rh_losses,rh_pct,rh_total,top_riders_wins,top_riders_losses,top_riders_pct,contractor,active,round_wins,rider_round_wins
1673,8 Crow (1673),,19.455,,13,,,,,,,,,,,,,,,,,,,True,,
1674,900 * (1674),,18.25,,10,,,,,,,,,,,,,,,,,,,True,,
1691,1 Gus (1691),,17.5,,2,,,,,,,,,,,,,,,,,,,True,,
1705,20 Grim Reaper (1705),,19.15,,6,,,,,,,,,,,,,,,,,,,True,,
1708,54T Hornet (1708),,19.536,,7,,,,,,,,,,,,,,,,,,,True,,
1709,705 Mighty Mouse (1709),,19.518,,56,,,,,,,,,,,,,,,,,,,True,,
1710,708 Knockout (1710),,19.65,,20,,,,,,,,,,,,,,,,,,,True,,
1711,70T Katmandu (1711),,20.0,,46,,,,,,,,,,,,,,,,,,,True,,
1712,711 Widow Maker (1712),,20.324,,53,,,,,,,,,,,,,,,,,,,True,,
1713,712 Fighting Sioux (1713),,20.11,,36,,,,,,,,,,,,,,,,,,,True,,
1715,73T Little Lucifer (1715),,18.929,,14,,,,,,,,,,,,,,,,,,,True,,
1718,816 Damien (1718),,19.208,,12,,,,,,,,,,,,,,,,,,,True,,
1719,818 Howdy (1719),,18.8,,20,,,,,,,,,,,,,,,,,,,True,,
1720,830 Bananas (1720),,17.25,,8,,,,,,,,,,,,,,,,,,,True,,
1721,84J Wild & Crazy (1721),,19.063,,8,,,,,,,,,,,,,,,,,,,True,,
1723,902 Doubletake (1723),,17.5,,4,,,,,,,,,,,,,,,,,,,True,,
1724,907 Black Lightning (1724),,20.143,,23,,,,,,,,,,,,,,,,,,,True,,
1725,909 Sweet Pea (1725),,19.956,,17,,,,,,,,,,,,,,,,,,,True,,
1727,913 Black Diamond (1727),,17.056,,9,,,,,,,,,,,,,,,,,,,True,,
1728,917 Action Cat (1728),,21.411,,76,,,,,,,,,,,,,,,,,,,True,,
1729,91J Times Up (1729),,18.438,,12,,,,,,,,,,,,,,,,,,,True,,
1731,94J Spotted Owl (1731),,20.294,,19,,,,,,,,,,,,,,,,,,,True,,
1733,96J Backwards (1733),,18.609,,32,,,,,,,,,,,,,,,,,,,True,,
1736,-12 Nubby (1736),,19.292,,6,,,,,,,,,,,,,,,,,,,True,,
1738,00 Buckshot (1738),,18.8,,52,,,,,,,,,,,,,,,,,,,True,,
1751,17 Spotted Dog (1751),,21.206,,35,,,,,,,,,,,,,,,,,,,True,,
1754,22 Hatchet Jack (1754),,20.75,,12,,,,,,,,,,,,,,,,,,,True,,
1755,221 Bandito (1755),,19.727,,11,,,,,,,,,,,,,,,,,,,True,,
1757,23 Dawson's Toy Box (1757),,18.469,,52,,,,,,,,,,,,,,,,,,,True,,
1759,31 White Cloud (1759),,18.363,,43,,,,,,,,,,,,,,,,,,,True,,
1762,35 Nacho (1762),,20.73,,78,,,,,,,,,,,,,,,,,,,True,,
1763,+13 Grey Cat (1763),,13.75,,3,,,,,,,,,,,,,,,,,,,True,,
1765,41 Red Wasp (1765),,20.179,,22,,,,,,,,,,,,,,,,,,,True,,
1767,46 Choke Start (1767),,19.216,,39,,,,,,,,,,,,,,,,,,,True,,
1768,7 Six Gun (1768),,17.355,,20,,,,,,,,,,,,,,,,,,,True,,
1771,77 Tiger (1771),,19.709,,73,,,,,,,,,,,,,,,,,,,True,,
1772,776 Blackout (1772),,20.037,,63,,,,,,,,,,,,,,,,,,,True,,
1773,811 Fear Factor (1773),,18.881,,21,,,,,,,,,,,,,,,,,,,True,,
1775,875 Superstition (1775),,20.943,,11,,,,,,,,,,,,,,,,,,,True,,
178,T18 Locomotion (178),,20.951,,78,,,,,,,,,,,,,,,,,,,True,,
1783,G3 Wally World (1783),,19.815,,51,,,,,,,,,,,,,,,,,,,True,,
1784,J11 River Flow (1784),,19.556,,27,,,,,,,,,,,,,,,,,,,True,,
1785,P1 Moody (1785),,18.917,,3,,,,,,,,,,,,,,,,,,,True,,
1786,T1 Reberta (1786),,18.976,,21,,,,,,,,,,,,,,,,,,,True,,
179,T28 Wild Weed (179),,21.388,,72,,,,,,,,,,,,,,,,,,,True,,
180,T48 Little Weed (180),,21.429,21.357,105,,,,,,,,,,,,,,,,,,,True,,
181,T8 Soap Weed (181),,20.935,20.871,81,,,,,,,,,,,,,,,,,,,True,,
182,VT Helter Skelter (182),,21.412,,38,,,,,,,,,,,,,,,,,,,True,,
1822,52 Short Fuse (1822),,20.911,,44,,,,,,,,,,,,,,,,,,,True,,
1823,604 Speck (1823),,19.25,,36,,,,,,,,,,,,,,,,,,,True,,
1825,675 Quick Trip (1825),,20.121,,33,,,,,,,,,,,,,,,,,,,True,,
1826,700 Spanky (1826),,18.859,,16,,,,,,,,,,,,,,,,,,,True,,
1827,710 Jersey Joe (1827),,18.1,,10,,,,,,,,,,,,,,,,,,,True,,
1829,902 Code Blue (1829),,18.21,,25,,,,,,,,,,,,,,,,,,,True,,
18307,99 Dixie Chicken (18307),,19.45,,5,,,,,,,,,,,,,,,,,,,True,,
1831,D Cottonmouth (1831),,18.795,,22,,,,,,,,,,,,,,,,,,,True,,
1833,Y Superstar (1833),,21.178,21.165,53,,,,,,,,,,,,,,,,,,,True,,
1834,Y1 Paleface (1834),,18.1,,15,,,,,,,,,,,,,,,,,,,True,,
1835,Y8 Honker (1835),,18.25,,6,,,,,,,,,,,,,,,,,,,True,,
1836,-11 Red Man (1836),,19.96,,28,,,,,,,,,,,,,,,,,,,True,,
1837,-22 Orangutan (1837),,18.867,,15,,,,,,,,,,,,,,,,,,,True,,
1838,-3 Polecat (1838),,21.714,,22,,,,,,,,,,,,,,,,,,,True,,
1842,101 Hogans Hero (1842),,18.75,,14,,,,,,,,,,,,,,,,,,,True,,
1844,174 Cowboy (1844),,19.482,,14,,,,,,,,,,,,,,,,,,,True,,
185,00 Dark Side (185),,20.329,,40,,,,,,,,,,,,,,,,,,,True,,
1853,680 Let Er Rip (1853),,19.292,,18,,,,,,,,,,,,,,,,,,,True,,
1854,701 Eight Mile (1854),,17.839,,15,,,,,,,,,,,,,,,,,,,True,,
1855,72 Jumping Jack (1855),,18.786,,8,,,,,,,,,,,,,,,,,,,True,,
1856,728 Little Johnny (1856),,18.8,,15,,,,,,,,,,,,,,,,,,,True,,
1857,777 Kid Rodeo (1857),,19.326,,18,,,,,,,,,,,,,,,,,,,True,,
1858,8925 Baby Bucks (1858),,20.563,,16,,,,,,,,,,,,,,,,,,,True,,
1859,905 Top Gun (1859),,19.286,,15,,,,,,,,,,,,,,,,,,,True,,
1860,928 Mega 2 (1860),,19.475,,10,,,,,,,,,,,,,,,,,,,True,,
1861,T49 Ice Kid (1861),,18.895,,19,,,,,,,,,,,,,,,,,,,True,,
1862,V3 Mighty Mouse (1862),,20.577,,13,,,,,,,,,,,,,,,,,,,True,,
1863,X96 Little Boss (1863),,18.8,,10,,,,,,,,,,,,,,,,,,,True,,
1883,615 Banner Bandit (1883),,20.844,,24,,,,,,,,,,,,,,,,,,,True,,
1884,617 * (1884),,18.491,,28,,,,,,,,,,,,,,,,,,,True,,
1885,620 Vindicator (1885),,19.625,,20,,,,,,,,,,,,,,,,,,,True,,
1886,621 Double Eagle (1886),,17.37,,27,,,,,,,,,,,,,,,,,,,True,,
1892,82 Jail Bird (1892),,18.365,,28,,,,,,,,,,,,,,,,,,,True,,
1897,90 Shagadelic (1897),,20.539,,32,,,,,,,,,,,,,,,,,,,True,,
1898,910 Paleface (1898),,17.73,,26,,,,,,,,,,,,,,,,,,,True,,
1899,912 Otis (1899),,19.25,,10,,,,,,,,,,,,,,,,,,,True,,
1901,914 Addiction (1901),,19.701,,38,,,,,,,,,,,,,,,,,,,True,,
1902,92 Alley Cat (1902),,18.542,,6,,,,,,,,,,,,,,,,,,,True,,
1903,920 Billfold (1903),,19.553,,35,,,,,,,,,,,,,,,,,,,True,,
1905,95 Mini Me (1905),,18.262,,21,,,,,,,,,,,,,,,,,,,True,,
1906,96 Big Red (1906),,19.054,,29,,,,,,,,,,,,,,,,,,,True,,
1907,99 Mojo (1907),,21.732,21.712,55,,,,,,,,,,,,,,,,,,,True,,
191,028 Kryptonite (191),,20.985,,28,,,,,,,,,,,,,,,,,,,True,,
19152,101 Rampage (19152),,22.39,,59,,,,,,,,,,,,,,,,,,,True,,
19155,86 Boo Boo (19155),,21.688,,4,,,,,,,,,,,,,,,,,,,True,,
19187,81 Dillinger (19187),,23.444,,51,,,,,,,,,,,,,,,,,,,True,,
19194,46 Copenhagen Zandy (19194),,22.355,,37,,,,,,,,,,,,,,,,,,,True,,
19195,273 Vindicator (19195),,21.631,,25,,,,,,,,,,,,,,,,,,,True,,
192,07 Bad Company (192),,20.426,,74,,,,,,,,,,,,,,,,,,,True,,
