bull_id_str,bull_career_outs,bull_career_buckoffs,bull_buckoff_pct,bull_qual_pct,bull_avg_score,bull_recent_buckoff,bull_spin_dir
1145,5.0,4.0,80.0,20.0,34.0,0.8,
1146,1.0,1.0,100.0,0.0,42.0,1.0,
1147,0.0,0.0,50.0,50.0,41.0,0.5,RIGHT
1148,3.0,2.0,66.66666666666666,33.33333333333334,37.0,0.6666666666666666,
1149,4.0,4.0,100.0,0.0,42.833333333333336,1.0,LEFT
115,0.0,0.0,50.0,50.0,41.0,0.5,
1150,0.0,0.0,50.0,50.0,41.0,0.5,
1151,9.0,6.0,66.66666666666666,33.33333333333334,36.375,0.6666666666666666,
1153,0.0,0.0,50.0,50.0,41.0,0.5,
1154,0.0,0.0,50.0,50.0,41.0,0.5,
1155,9.0,8.0,88.88888888888889,11.111111111111114,38.5,0.8888888888888888,
116,14.0,11.0,78.57142857142857,21.42857142857143,39.041666666666664,0.8,RIGHT
117,13.0,13.0,100.0,0.0,43.55555555555556,1.0,
118,24.0,22.0,91.66666666666666,8.333333333333343,39.425,1.0,RIGHT
1188,2.0,1.0,50.0,50.0,40.0,0.5,
1189,0.0,0.0,50.0,50.0,41.0,0.5,
119,16.0,15.0,93.75,6.25,41.166666666666664,0.9,
1190,3.0,3.0,100.0,0.0,34.0,1.0,
1191,2.0,2.0,100.0,0.0,41.25,1.0,
1192,0.0,0.0,50.0,50.0,41.0,0.5,
1195,1.0,1.0,100.0,0.0,36.0,1.0,
1197,1.0,0.0,0.0,100.0,33.0,0.0,
1198,8.0,7.0,87.5,12.5,38.083333333333336,0.875,
1199,11.0,9.0,81.81818181818183,18.181818181818173,40.55555555555556,0.8,
12,4.0,3.0,75.0,25.0,40.25,0.75,
120,1.0,0.0,0.0,100.0,38.0,0.0,
1200,6.0,4.0,66.66666666666666,33.33333333333334,34.25,0.6666666666666666,
1201,14.0,14.0,100.0,0.0,36.5625,1.0,
1202,15.0,10.0,66.66666666666666,33.33333333333334,41.57692307692308,0.6,
1203,15.0,10.0,66.66666666666666,33.33333333333334,41.125,0.7,
1204,5.0,2.0,40.0,60.0,38.4,0.4,
1205,0.0,0.0,50.0,50.0,41.0,0.5,
1206,15.0,11.0,73.33333333333333,26.66666666666667,40.5,0.6,
1207,5.0,4.0,80.0,20.0,37.0,0.8,
1209,17.0,13.0,76.47058823529412,23.529411764705884,39.80769230769231,0.8,
121,19.0,17.0,89.47368421052632,10.526315789473685,42.72222222222222,0.9,RIGHT
1210,15.0,11.0,73.33333333333333,26.66666666666667,43.18181818181818,0.8,
1211,1.0,1.0,100.0,0.0,35.0,1.0,
1212,7.0,6.0,85.71428571428571,14.285714285714292,39.083333333333336,0.8571428571428571,
1213,1.0,1.0,100.0,0.0,39.5,1.0,
1214,0.0,0.0,50.0,50.0,41.0,0.5,
1215,2.0,2.0,100.0,0.0,40.0,1.0,
1216,13.0,10.0,76.92307692307693,23.076923076923066,40.95,0.8,LEFT
1217,2.0,2.0,100.0,0.0,33.0,1.0,
1218,6.0,5.0,83.33333333333334,16.666666666666657,37.7,0.8333333333333334,
1219,16.0,10.0,62.5,37.5,41.36666666666667,0.7,
122,10.0,7.0,70.0,30.0,42.166666666666664,0.7,
1220,18.0,9.0,50.0,50.0,41.46875,0.4,RIGHT
1221,5.0,3.0,60.0,40.0,37.666666666666664,0.6,
1222,4.0,4.0,100.0,0.0,39.75,1.0,
1224,5.0,4.0,80.0,20.0,32.6,0.8,
1225,3.0,2.0,66.66666666666666,33.33333333333334,35.5,0.6666666666666666,
1226,4.0,2.0,50.0,50.0,36.0,0.5,
1227,5.0,5.0,100.0,0.0,39.6,1.0,RIGHT
1229,1.0,1.0,100.0,0.0,43.0,1.0,
123,12.0,9.0,75.0,25.0,39.333333333333336,0.7,
1230,2.0,1.0,50.0,50.0,35.5,0.5,
1231,0.0,0.0,50.0,50.0,41.0,0.5,
1232,5.0,2.0,40.0,60.0,39.7,0.4,
1233,3.0,1.0,33.33333333333333,66.66666666666667,39.0,0.3333333333333333,
1234,2.0,1.0,50.0,50.0,37.5,0.5,
1236,6.0,5.0,83.33333333333334,16.666666666666657,37.5,0.8333333333333334,LEFT
1237,3.0,0.0,0.0,100.0,39.0,0.0,
1238,1.0,1.0,100.0,0.0,42.5,1.0,
124,1.0,1.0,100.0,0.0,41.0,1.0,
1240,1.0,0.0,0.0,100.0,32.0,0.0,
1242,0.0,0.0,50.0,50.0,41.0,0.5,
1243,0.0,0.0,50.0,50.0,41.0,0.5,
1245,0.0,0.0,50.0,50.0,41.0,0.5,
1246,3.0,2.0,66.66666666666666,33.33333333333334,34.333333333333336,0.6666666666666666,
1247,4.0,4.0,100.0,0.0,40.333333333333336,1.0,
1248,4.0,4.0,100.0,0.0,43.75,1.0,
125,29.0,21.0,72.41379310344827,27.58620689655173,42.25,0.7,RIGHT
1250,0.0,0.0,50.0,50.0,41.0,0.5,
1251,1.0,1.0,100.0,0.0,43.5,1.0,
1252,3.0,3.0,100.0,0.0,36.0,1.0,
1253,0.0,0.0,50.0,50.0,41.0,0.5,
1254,0.0,0.0,50.0,50.0,41.0,0.5,
1255,3.0,2.0,66.66666666666666,33.33333333333334,33.0,0.6666666666666666,
1257,1.0,0.0,0.0,100.0,34.0,0.0,
1258,3.0,3.0,100.0,0.0,40.75,1.0,LEFT
1260,0.0,0.0,50.0,50.0,41.0,0.5,
1261,16.0,7.0,43.75,56.25,37.035714285714285,0.4,RIGHT
1262,17.0,12.0,70.58823529411765,29.411764705882348,44.64705882352941,0.8,LEFT
1263,0.0,0.0,50.0,50.0,41.0,0.5,
1264,11.0,6.0,54.54545454545454,45.45454545454546,38.333333333333336,0.5,RIGHT
1265,15.0,11.0,73.33333333333333,26.66666666666667,42.833333333333336,0.8,RIGHT
1266,19.0,14.0,73.68421052631578,26.31578947368422,41.0,0.8,LEFT
1267,11.0,9.0,81.81818181818183,18.181818181818173,42.375,0.8,LEFT
1268,19.0,8.0,42.10526315789473,57.89473684210527,36.473684210526315,0.3,LEFT
1269,15.0,14.0,93.33333333333333,6.666666666666671,44.32,0.9,RIGHT
1270,14.0,12.0,85.71428571428571,14.285714285714292,39.85,0.8,RIGHT
1271,26.0,21.0,80.76923076923077,19.230769230769226,37.65217391304348,0.8,LEFT
1272,13.0,6.0,46.15384615384615,53.84615384615385,38.72222222222222,0.5,RIGHT
1273,19.0,10.0,52.63157894736842,47.36842105263158,36.666666666666664,0.4,LEFT
1274,7.0,6.0,85.71428571428571,14.285714285714292,39.375,0.8571428571428571,
1275,17.0,6.0,35.294117647058826,64.70588235294117,37.6875,0.2,LEFT
1276,14.0,8.0,57.14285714285714,42.85714285714286,38.714285714285715,0.5,LEFT
1277,11.0,9.0,81.81818181818183,18.181818181818173,42.75,0.9,RIGHT
1278,17.0,15.0,88.23529411764706,11.764705882352942,43.529411764705884,0.9,RIGHT
1279,9.0,8.0,88.88888888888889,11.111111111111114,39.857142857142854,0.8888888888888888,LEFT
128,32.0,31.0,96.875,3.125,39.24,1.0,RIGHT
1280,19.0,18.0,94.73684210526315,5.26315789473685,33.96875,0.9,RIGHT
1281,18.0,13.0,72.22222222222221,27.777777777777786,36.166666666666664,0.6,LEFT
1282,11.0,11.0,100.0,0.0,45.57142857142857,1.0,RIGHT
1283,11.0,8.0,72.72727272727273,27.272727272727266,44.22727272727273,0.8,RIGHT
1284,11.0,9.0,81.81818181818183,18.181818181818173,38.5,0.8,RIGHT
1285,13.0,5.0,38.46153846153847,61.53846153846153,37.125,0.3,LEFT
1286,8.0,8.0,100.0,0.0,44.833333333333336,1.0,LEFT
1287,11.0,9.0,81.81818181818183,18.181818181818173,41.333333333333336,0.9,LEFT
1288,14.0,11.0,78.57142857142857,21.42857142857143,37.09090909090909,0.7,LEFT
1289,8.0,8.0,100.0,0.0,41.57142857142857,1.0,RIGHT
1290,5.0,5.0,100.0,0.0,31.75,1.0,RIGHT
1291,9.0,9.0,100.0,0.0,43.0,1.0,LEFT
1292,26.0,16.0,61.53846153846154,38.46153846153846,38.84782608695652,0.5,RIGHT
1293,19.0,16.0,84.21052631578947,15.789473684210535,40.875,0.8,LEFT
1294,7.0,5.0,71.42857142857143,28.57142857142857,33.0,0.7142857142857143,
1295,14.0,13.0,92.85714285714286,7.142857142857139,37.57692307692308,0.9,LEFT
1296,12.0,12.0,100.0,0.0,37.888888888888886,1.0,LEFT
1297,11.0,10.0,90.9090909090909,9.090909090909093,41.25,0.9,RIGHT
1298,21.0,13.0,61.904761904761905,38.095238095238095,36.15,0.4,RIGHT
1299,14.0,8.0,57.14285714285714,42.85714285714286,38.26923076923077,0.5,LEFT
1300,15.0,10.0,66.66666666666666,33.33333333333334,39.0,0.6,LEFT
1301,9.0,8.0,88.88888888888889,11.111111111111114,38.583333333333336,0.8888888888888888,LEFT
1302,25.0,16.0,64.0,36.0,38.52173913043478,0.5,LEFT
13021,0.0,0.0,50.0,50.0,41.0,0.5,
1303,34.0,33.0,97.05882352941177,2.941176470588232,37.04,1.0,
1304,5.0,5.0,100.0,0.0,36.8,1.0,
1305,29.0,25.0,86.20689655172413,13.793103448275872,43.5,0.9,RIGHT
1306,21.0,15.0,71.42857142857143,28.57142857142857,38.26190476190476,0.9,RIGHT
1307,32.0,16.0,50.0,50.0,35.5,0.4,LEFT
1308,19.0,15.0,78.94736842105263,21.05263157894737,40.02777777777778,0.8,LEFT
1309,5.0,2.0,40.0,60.0,35.2,0.4,
1310,25.0,13.0,52.0,48.0,36.229166666666664,0.4,RIGHT
1311,4.0,4.0,100.0,0.0,35.75,1.0,
1312,33.0,23.0,69.6969696969697,30.303030303030297,39.43103448275862,0.8,RIGHT
1313,5.0,3.0,60.0,40.0,35.2,0.6,
1314,6.0,3.0,50.0,50.0,35.2,0.5,
1315,32.0,30.0,93.75,6.25,43.775,1.0,LEFT
1316,11.0,8.0,72.72727272727273,27.272727272727266,38.25,0.7,RIGHT
1317,14.0,12.0,85.71428571428571,14.285714285714292,37.23076923076923,0.8,LEFT
1318,10.0,10.0,100.0,0.0,39.75,1.0,RIGHT
1319,13.0,11.0,84.61538461538461,15.384615384615387,36.77272727272727,0.8,LEFT
132,31.0,26.0,83.87096774193549,16.129032258064512,40.03703703703704,0.9,RIGHT
1320,36.0,36.0,100.0,0.0,42.21875,1.0,RIGHT
1321,35.0,32.0,91.42857142857143,8.57142857142857,38.18333333333333,0.9,RIGHT
1322,34.0,31.0,91.17647058823529,8.82352941176471,38.62068965517241,0.8,LEFT
1323,24.0,20.0,83.33333333333334,16.666666666666657,37.125,0.6,LEFT
1324,33.0,32.0,96.96969696969697,3.030303030303031,38.11666666666667,1.0,RIGHT
1325,3.0,1.0,33.33333333333333,66.66666666666667,37.0,0.3333333333333333,
1326,20.0,16.0,80.0,20.0,37.0,0.8,
1327,33.0,30.0,90.9090909090909,9.090909090909093,43.074074074074076,1.0,RIGHT
1328,26.0,24.0,92.3076923076923,7.692307692307693,37.84090909090909,0.9,RIGHT
1329,12.0,10.0,83.33333333333334,16.666666666666657,34.75,0.9,
1330,29.0,27.0,93.10344827586206,6.896551724137936,37.964285714285715,1.0,RIGHT
1331,0.0,0.0,50.0,50.0,41.0,0.5,
1332,1.0,1.0,100.0,0.0,41.0,1.0,
1333,0.0,0.0,50.0,50.0,41.0,0.5,
1337,1.0,1.0,100.0,0.0,36.0,1.0,
134,8.0,6.0,75.0,25.0,40.5,0.75,
1341,0.0,0.0,50.0,50.0,41.0,0.5,
1342,24.0,20.0,83.33333333333334,16.666666666666657,41.42857142857143,0.9,RIGHT
